,si_no,head,date,time,place,complainant_vehicle,opposite_vehicle,male_injury,female_injury,male_fatal,female_fatal,total_cases,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,male _fatal,...23,...24,...25
963,45,Injury,30-07-2020 00:00,7.4,Thoppur Check post,Lorry,Lorry,2,NA,NA,NA,0,37,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,50,Injury,06-08-2020 00:00,15,Thoppur Check post,Two Wheeler,Lorry,1,NA,NA,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
965,60,Grives,06-09-2020 00:00,22,Thoppur Check post,Two Wheeler,Lorry,1,NA,NA,NA,0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
966,82,Fatal,12-12-2020 00:00,15,Thoppur Double Bridge,Car,Lorry,1,NA,4,NA,4,30,NA,NA,NA,NA,NA,34,35,40,41,NA,NA,NA,NA
967,72,Injury,17-11-2020 00:00,13,Thoppur HP Petrol Bunk,Two Wheeler,Two Wheeler,1,NA,NA,NA,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
968,81,Injury,02-12-2020 00:00,15,Thoppur kattamadu near,Four Wheeler,Lorry,1,NA,NA,NA,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,5,Injury,13-01-2020 00:00,2.3,Thoppur Kurunch Nagar Lorry Parking near,Lorry,Bus,2,NA,NA,NA,0,27,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
970,77,Fatal,13-11-2020 00:00,7,Thoppur Nathiya Hotel near,Two Wheeler,Lorry,2,NA,2,NA,2,27,32,NA,NA,NA,NA,27,36,NA,NA,NA,NA,NA,NA
971,38,Injury,07-07-2020 00:00,8.3,Thoppur Palam Near,Two Wheeler,Car,1,2,NA,NA,0,40,13,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,74,Injury,20-11-2020 00:00,10,Thoppur Police Quarters,Two Wheeler,Car,2,NA,NA,NA,0,25,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
973,46,Fatal,04-08-2020 00:00,10,Thoppur Police Quarters,Two Wheeler,Van,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
974,15,Fatal,01-03-2020 00:00,12,Thoppur Police Quarters,Pedestrian,Van,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA
975,85,Injury,31-12-2020 00:00,3,Thoppur Rajalakshmi Petrol Bunk near,Lorry,Lorry,4,2,NA,NA,0,30,32,23,28,35,42,NA,NA,NA,NA,NA,NA,NA,NA
976,30,Injury,25-05-2020 00:00,18.3,Thpoour PS Police Quarters Opposite,Two Wheeler,Two Wheeler,2,NA,NA,NA,0,35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,64,Injury,28-09-2020 00:00,18.3,Unknown,Two Wheeler,Tractor,1,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
